FIPS,Code,Name,Type,Year,Population,Median Household Income,Population Source,Median Household Income Source
32,NV,Nevada,state,2011,2718170,48927,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
33,NH,New Hampshire,state,2011,1318345,62647,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
34,NJ,New Jersey,state,2011,8844694,67458,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
35,NM,New Mexico,state,2011,2077744,41963,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
36,NY,New York,state,2011,19526372,55246,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
37,NC,North Carolina,state,2011,9662940,43916,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
38,ND,North Dakota,state,2011,684830,51704,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
39,OH,Ohio,state,2011,11543332,45749,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
40,OK,Oklahoma,state,2011,3785232,43225,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
41,OR,Oregon,state,2011,3865845,46816,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
42,PA,Pennsylvania,state,2011,12742811,50228,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
44,RI,Rhode Island,state,2011,1052154,53636,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
45,SC,South Carolina,state,2011,4672744,42367,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
46,SD,South Dakota,state,2011,823338,48321,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
47,TN,Tennessee,state,2011,6396281,41693,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
48,TX,Texas,state,2011,25644424,49392,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
49,UT,Utah,state,2011,2815430,55869,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
50,VT,Vermont,state,2011,626210,52776,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
51,VA,Virginia,state,2011,8107548,61882,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
53,WA,Washington,state,2011,6819155,56835,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
54,WV,West Virginia,state,2011,1854891,38482,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
55,WI,Wisconsin,state,2011,5705812,50395,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
56,WY,Wyoming,state,2011,567602,56322,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
60,AS,American Samoa,territory,2011,55519,23892,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
66,GU,Guam,territory,2011,159358,48274,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
69,MP,Northern Mariana Islands,territory,2011,53883,19958,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
